Training Epoch: [0][0/22]	Training Loss: 0.037348
Training Epoch: [21][1/22]	Training Loss: 0.003352
Training Epoch: [21][2/22]	Training Loss: 0.002220
Training Epoch: [21][3/22]	Training Loss: 0.002737
Training Epoch: [21][4/22]	Training Loss: 0.002474
Training Epoch: [21][5/22]	Training Loss: 0.003811
Training Epoch: [21][6/22]	Training Loss: 0.002914
Training Epoch: [21][7/22]	Training Loss: 0.002345
Training Epoch: [21][8/22]	Training Loss: 0.002934
Training Epoch: [21][9/22]	Training Loss: 0.001481
Training Epoch: [21][10/22]	Training Loss: 0.002604
Training Epoch: [21][11/22]	Training Loss: 0.001885
Training Epoch: [21][12/22]	Training Loss: 0.002249
Training Epoch: [21][13/22]	Training Loss: 0.003026
Training Epoch: [21][14/22]	Training Loss: 0.002380
Training Epoch: [21][15/22]	Training Loss: 0.004125
Training Epoch: [21][16/22]	Training Loss: 0.001505
Training Epoch: [21][17/22]	Training Loss: 0.001530
Training Epoch: [21][18/22]	Training Loss: 0.003566
Training Epoch: [21][19/22]	Training Loss: 0.000983
Training Epoch: [21][20/22]	Training Loss: 0.001408
Training Epoch: [21][21/22]	Training Loss: 0.002018
Training Epoch: [21][22/22]	Training Loss: 0.000982
Validation Loss: 0.000462 	Validation Acc.: 98.697068
best accuracy: 99.0228013029316
Training Epoch: [22][0/22]	Training Loss: 0.001082
Training Epoch: [22][1/22]	Training Loss: 0.001259
Training Epoch: [22][2/22]	Training Loss: 0.000953
Training Epoch: [22][3/22]	Training Loss: 0.003719
Training Epoch: [22][4/22]	Training Loss: 0.001621
Training Epoch: [22][5/22]	Training Loss: 0.002640
Training Epoch: [22][6/22]	Training Loss: 0.001642
Training Epoch: [22][7/22]	Training Loss: 0.003276
Training Epoch: [22][8/22]	Training Loss: 0.001862
Training Epoch: [22][9/22]	Training Loss: 0.002304
Training Epoch: [22][10/22]	Training Loss: 0.001548
Training Epoch: [22][11/22]	Training Loss: 0.001320
Training Epoch: [22][12/22]	Training Loss: 0.001175
Training Epoch: [22][13/22]	Training Loss: 0.001513
Training Epoch: [22][14/22]	Training Loss: 0.001771
Training Epoch: [22][15/22]	Training Loss: 0.002832
Training Epoch: [22][16/22]	Training Loss: 0.001906
Training Epoch: [22][17/22]	Training Loss: 0.001411
Training Epoch: [22][18/22]	Training Loss: 0.001552
Training Epoch: [22][19/22]	Training Loss: 0.002568
Training Epoch: [22][20/22]	Training Loss: 0.001989
Training Epoch: [22][21/22]	Training Loss: 0.004302
Training Epoch: [22][22/22]	Training Loss: 0.001777
Validation Loss: 0.000409 	Validation Acc.: 98.697068
best accuracy: 99.0228013029316
Training Epoch: [23][0/22]	Training Loss: 0.001738
Training Epoch: [23][1/22]	Training Loss: 0.001605
Training Epoch: [23][2/22]	Training Loss: 0.003647
Training Epoch: [23][3/22]	Training Loss: 0.001409
Training Epoch: [23][4/22]	Training Loss: 0.002487
Training Epoch: [23][5/22]	Training Loss: 0.000809
Training Epoch: [23][6/22]	Training Loss: 0.001250
Training Epoch: [23][7/22]	Training Loss: 0.003737
Training Epoch: [23][8/22]	Training Loss: 0.001361
Training Epoch: [23][9/22]	Training Loss: 0.000733
Training Epoch: [23][10/22]	Training Loss: 0.001466
Training Epoch: [23][11/22]	Training Loss: 0.002019
Training Epoch: [23][12/22]	Training Loss: 0.001451
Training Epoch: [23][13/22]	Training Loss: 0.002044
Training Epoch: [23][14/22]	Training Loss: 0.000887
Training Epoch: [23][15/22]	Training Loss: 0.002766
Training Epoch: [23][16/22]	Training Loss: 0.001289
Training Epoch: [23][17/22]	Training Loss: 0.002616
Training Epoch: [23][18/22]	Training Loss: 0.001982
Training Epoch: [23][19/22]	Training Loss: 0.001344
Training Epoch: [23][20/22]	Training Loss: 0.001680
Training Epoch: [23][21/22]	Training Loss: 0.001201
Training Epoch: [23][22/22]	Training Loss: 0.001784
Validation Loss: 0.000524 	Validation Acc.: 98.697068
best accuracy: 99.0228013029316
Training Epoch: [24][0/22]	Training Loss: 0.001298
Training Epoch: [24][1/22]	Training Loss: 0.001785
Training Epoch: [24][2/22]	Training Loss: 0.000992
Training Epoch: [24][3/22]	Training Loss: 0.001350
Training Epoch: [24][4/22]	Training Loss: 0.001199
Training Epoch: [24][5/22]	Training Loss: 0.001308
Training Epoch: [24][6/22]	Training Loss: 0.000834
Training Epoch: [24][7/22]	Training Loss: 0.000974
Training Epoch: [24][8/22]	Training Loss: 0.002191
Training Epoch: [24][9/22]	Training Loss: 0.002390
Training Epoch: [24][10/22]	Training Loss: 0.000572
Training Epoch: [24][11/22]	Training Loss: 0.000712
Training Epoch: [24][12/22]	Training Loss: 0.003192
Training Epoch: [24][13/22]	Training Loss: 0.001366
Training Epoch: [24][14/22]	Training Loss: 0.001180
Training Epoch: [24][15/22]	Training Loss: 0.002281
Training Epoch: [24][16/22]	Training Loss: 0.000555
Training Epoch: [24][17/22]	Training Loss: 0.002657
Training Epoch: [24][18/22]	Training Loss: 0.001998
Training Epoch: [24][19/22]	Training Loss: 0.002173
Training Epoch: [24][20/22]	Training Loss: 0.003535
Training Epoch: [24][21/22]	Training Loss: 0.001941
Training Epoch: [24][22/22]	Training Loss: 0.000719
Validation Loss: 0.000579 	Validation Acc.: 98.371336
best accuracy: 99.0228013029316
Training Epoch: [25][0/22]	Training Loss: 0.001230
Training Epoch: [25][1/22]	Training Loss: 0.001868
Training Epoch: [25][2/22]	Training Loss: 0.001247
Training Epoch: [25][3/22]	Training Loss: 0.000730
Training Epoch: [25][4/22]	Training Loss: 0.004069
Training Epoch: [25][5/22]	Training Loss: 0.001682
Training Epoch: [25][6/22]	Training Loss: 0.003011
Training Epoch: [25][7/22]	Training Loss: 0.000751
Training Epoch: [25][8/22]	Training Loss: 0.002179
Training Epoch: [25][9/22]	Training Loss: 0.001755
Training Epoch: [25][10/22]	Training Loss: 0.001907
Training Epoch: [25][11/22]	Training Loss: 0.001923
Training Epoch: [25][12/22]	Training Loss: 0.002561
Training Epoch: [25][13/22]	Training Loss: 0.002926
Training Epoch: [25][14/22]	Training Loss: 0.002175
Training Epoch: [25][15/22]	Training Loss: 0.000946
Training Epoch: [25][16/22]	Training Loss: 0.001287
Training Epoch: [25][17/22]	Training Loss: 0.011887
Training Epoch: [25][18/22]	Training Loss: 0.002989
Training Epoch: [25][19/22]	Training Loss: 0.002486
Training Epoch: [25][20/22]	Training Loss: 0.001297
Training Epoch: [25][21/22]	Training Loss: 0.001780
Training Epoch: [25][22/22]	Training Loss: 0.004765
Validation Loss: 0.001193 	Validation Acc.: 96.416938
best accuracy: 99.0228013029316
Training Epoch: [26][0/22]	Training Loss: 0.001678
Training Epoch: [26][1/22]	Training Loss: 0.000593
Training Epoch: [26][2/22]	Training Loss: 0.027180
Training Epoch: [26][3/22]	Training Loss: 0.005075
Training Epoch: [26][4/22]	Training Loss: 0.001274
Training Epoch: [26][5/22]	Training Loss: 0.002238
Training Epoch: [26][6/22]	Training Loss: 0.019447
Training Epoch: [26][7/22]	Training Loss: 0.005467
Training Epoch: [26][8/22]	Training Loss: 0.003618
Training Epoch: [26][9/22]	Training Loss: 0.002643
Training Epoch: [26][10/22]	Training Loss: 0.002229
Training Epoch: [26][11/22]	Training Loss: 0.000197
Training Epoch: [26][12/22]	Training Loss: 0.002401
Training Epoch: [26][13/22]	Training Loss: 0.003669
Training Epoch: [26][14/22]	Training Loss: 0.010802
Training Epoch: [26][15/22]	Training Loss: 0.006103
Training Epoch: [26][16/22]	Training Loss: 0.001476
Training Epoch: [26][17/22]	Training Loss: 0.006838
Training Epoch: [26][18/22]	Training Loss: 0.017949
Training Epoch: [26][19/22]	Training Loss: 0.013262
Training Epoch: [26][20/22]	Training Loss: 0.003766
Training Epoch: [26][21/22]	Training Loss: 0.003632
Training Epoch: [26][22/22]	Training Loss: 0.005981
Validation Loss: 0.002043 	Validation Acc.: 91.205212
best accuracy: 99.0228013029316
Training Epoch: [27][0/22]	Training Loss: 0.011402
Training Epoch: [27][1/22]	Training Loss: 0.002757
Training Epoch: [27][2/22]	Training Loss: 0.003997
Training Epoch: [27][3/22]	Training Loss: 0.002212
Training Epoch: [27][4/22]	Training Loss: 0.000760
Training Epoch: [27][5/22]	Training Loss: 0.002212
Training Epoch: [27][6/22]	Training Loss: 0.003629
Training Epoch: [27][7/22]	Training Loss: 0.003903
Training Epoch: [27][8/22]	Training Loss: 0.008901
Training Epoch: [27][9/22]	Training Loss: 0.007776
Training Epoch: [27][10/22]	Training Loss: 0.007385
Training Epoch: [27][11/22]	Training Loss: 0.002428
Training Epoch: [27][12/22]	Training Loss: 0.001707
Training Epoch: [27][13/22]	Training Loss: 0.005228
Training Epoch: [27][14/22]	Training Loss: 0.004667
Training Epoch: [27][15/22]	Training Loss: 0.001816
Training Epoch: [27][16/22]	Training Loss: 0.005394
Training Epoch: [27][17/22]	Training Loss: 0.003551
Training Epoch: [27][18/22]	Training Loss: 0.002151
Training Epoch: [27][19/22]	Training Loss: 0.001324
Training Epoch: [27][20/22]	Training Loss: 0.002435
Training Epoch: [27][21/22]	Training Loss: 0.004106
Training Epoch: [27][22/22]	Training Loss: 0.001117
Validation Loss: 0.000593 	Validation Acc.: 97.394137
best accuracy: 99.0228013029316
Training Epoch: [28][0/22]	Training Loss: 0.001575
Training Epoch: [28][1/22]	Training Loss: 0.002315
Training Epoch: [28][2/22]	Training Loss: 0.001640
Training Epoch: [28][3/22]	Training Loss: 0.002776
Training Epoch: [28][4/22]	Training Loss: 0.004546
Training Epoch: [28][5/22]	Training Loss: 0.005498
Training Epoch: [28][6/22]	Training Loss: 0.001850
Training Epoch: [28][7/22]	Training Loss: 0.002169
Training Epoch: [28][8/22]	Training Loss: 0.002027
Training Epoch: [28][9/22]	Training Loss: 0.003074
Training Epoch: [28][10/22]	Training Loss: 0.002861
Training Epoch: [28][11/22]	Training Loss: 0.010664
Training Epoch: [28][12/22]	Training Loss: 0.002363
Training Epoch: [28][13/22]	Training Loss: 0.002568
Training Epoch: [28][14/22]	Training Loss: 0.002475
Training Epoch: [28][15/22]	Training Loss: 0.001977
Training Epoch: [28][16/22]	Training Loss: 0.003549
Training Epoch: [28][17/22]	Training Loss: 0.002345
Training Epoch: [28][18/22]	Training Loss: 0.002780
Training Epoch: [28][19/22]	Training Loss: 0.009988
Training Epoch: [28][20/22]	Training Loss: 0.001999
Training Epoch: [28][21/22]	Training Loss: 0.004530
Training Epoch: [28][22/22]	Training Loss: 0.001614
Validation Loss: 0.000605 	Validation Acc.: 97.394137
best accuracy: 99.0228013029316
Training Epoch: [29][0/22]	Training Loss: 0.000830
Training Epoch: [29][1/22]	Training Loss: 0.001622
Training Epoch: [29][2/22]	Training Loss: 0.004865
Training Epoch: [29][3/22]	Training Loss: 0.002585
Training Epoch: [29][4/22]	Training Loss: 0.001016
Training Epoch: [29][5/22]	Training Loss: 0.005142
Training Epoch: [29][6/22]	Training Loss: 0.004432
Training Epoch: [29][7/22]	Training Loss: 0.001459
Training Epoch: [29][8/22]	Training Loss: 0.003321
Training Epoch: [29][9/22]	Training Loss: 0.002331
Training Epoch: [29][10/22]	Training Loss: 0.003875
Training Epoch: [29][11/22]	Training Loss: 0.001616
Training Epoch: [29][12/22]	Training Loss: 0.002369
Training Epoch: [29][13/22]	Training Loss: 0.007061
Training Epoch: [29][14/22]	Training Loss: 0.002364
Training Epoch: [29][15/22]	Training Loss: 0.010492
Training Epoch: [29][16/22]	Training Loss: 0.002962
Training Epoch: [29][17/22]	Training Loss: 0.003067
Training Epoch: [29][18/22]	Training Loss: 0.002087
Training Epoch: [29][19/22]	Training Loss: 0.001441
Training Epoch: [29][20/22]	Training Loss: 0.001822
Training Epoch: [29][21/22]	Training Loss: 0.002049
Training Epoch: [29][22/22]	Training Loss: 0.008541
Validation Loss: 0.001271 	Validation Acc.: 95.439739
best accuracy: 99.0228013029316
Training Epoch: [30][0/22]	Training Loss: 0.000747
Training Epoch: [30][1/22]	Training Loss: 0.003666
Training Epoch: [30][2/22]	Training Loss: 0.002474
Training Epoch: [30][3/22]	Training Loss: 0.001921
Training Epoch: [30][4/22]	Training Loss: 0.002658
Training Epoch: [30][5/22]	Training Loss: 0.000629
Training Epoch: [30][6/22]	Training Loss: 0.001426
Training Epoch: [30][7/22]	Training Loss: 0.001365
Training Epoch: [30][8/22]	Training Loss: 0.001715
Training Epoch: [30][9/22]	Training Loss: 0.002131
Training Epoch: [30][10/22]	Training Loss: 0.004012
Training Epoch: [30][11/22]	Training Loss: 0.001431
Training Epoch: [30][12/22]	Training Loss: 0.002948
Training Epoch: [30][13/22]	Training Loss: 0.002161
Training Epoch: [30][14/22]	Training Loss: 0.003178
Training Epoch: [30][15/22]	Training Loss: 0.001804
Training Epoch: [30][16/22]	Training Loss: 0.001646
Training Epoch: [30][17/22]	Training Loss: 0.002408
Training Epoch: [30][18/22]	Training Loss: 0.002653
Training Epoch: [30][19/22]	Training Loss: 0.001166
Training Epoch: [30][20/22]	Training Loss: 0.001669
Training Epoch: [30][21/22]	Training Loss: 0.000943
Training Epoch: [30][22/22]	Training Loss: 0.000850
Validation Loss: 0.000381 	Validation Acc.: 98.371336
best accuracy: 99.0228013029316
Training Epoch: [31][0/22]	Training Loss: 0.003937
Training Epoch: [31][1/22]	Training Loss: 0.001647
Training Epoch: [31][2/22]	Training Loss: 0.002153
Training Epoch: [31][3/22]	Training Loss: 0.002097
Training Epoch: [31][4/22]	Training Loss: 0.002311
Training Epoch: [31][5/22]	Training Loss: 0.001024
Training Epoch: [31][6/22]	Training Loss: 0.000561
Training Epoch: [31][7/22]	Training Loss: 0.000636
Training Epoch: [31][8/22]	Training Loss: 0.001430
Training Epoch: [31][9/22]	Training Loss: 0.001902
Training Epoch: [31][10/22]	Training Loss: 0.001892
Training Epoch: [31][11/22]	Training Loss: 0.001355
Training Epoch: [31][12/22]	Training Loss: 0.001054
Training Epoch: [31][13/22]	Training Loss: 0.001145
Training Epoch: [31][14/22]	Training Loss: 0.001307
Training Epoch: [31][15/22]	Training Loss: 0.002059
Training Epoch: [31][16/22]	Training Loss: 0.001067
Training Epoch: [31][17/22]	Training Loss: 0.001663
Training Epoch: [31][18/22]	Training Loss: 0.001771
Training Epoch: [31][19/22]	Training Loss: 0.002147
Training Epoch: [31][20/22]	Training Loss: 0.000912
Training Epoch: [31][21/22]	Training Loss: 0.001501
Training Epoch: [31][22/22]	Training Loss: 0.001815
Validation Loss: 0.000459 	Validation Acc.: 97.719870
best accuracy: 99.0228013029316
Training Epoch: [32][0/22]	Training Loss: 0.001423
Training Epoch: [32][1/22]	Training Loss: 0.001952
Training Epoch: [32][2/22]	Training Loss: 0.001695
Training Epoch: [32][3/22]	Training Loss: 0.000602
Training Epoch: [32][4/22]	Training Loss: 0.000527
Training Epoch: [32][5/22]	Training Loss: 0.000897
Training Epoch: [32][6/22]	Training Loss: 0.001216
Training Epoch: [32][7/22]	Training Loss: 0.001235
Training Epoch: [32][8/22]	Training Loss: 0.000716
Training Epoch: [32][9/22]	Training Loss: 0.000835
Training Epoch: [32][10/22]	Training Loss: 0.001350
Training Epoch: [32][11/22]	Training Loss: 0.001207
Training Epoch: [32][12/22]	Training Loss: 0.001892
Training Epoch: [32][13/22]	Training Loss: 0.002787
Training Epoch: [32][14/22]	Training Loss: 0.001890
Training Epoch: [32][15/22]	Training Loss: 0.001562
Training Epoch: [32][16/22]	Training Loss: 0.002101
Training Epoch: [32][17/22]	Training Loss: 0.002274
Training Epoch: [32][18/22]	Training Loss: 0.001790
Training Epoch: [32][19/22]	Training Loss: 0.000285
Training Epoch: [32][20/22]	Training Loss: 0.000710
Training Epoch: [32][21/22]	Training Loss: 0.000747
Training Epoch: [32][22/22]	Training Loss: 0.002811
Validation Loss: 0.000600 	Validation Acc.: 97.719870
best accuracy: 99.0228013029316
Training Epoch: [33][0/22]	Training Loss: 0.000321
Training Epoch: [33][1/22]	Training Loss: 0.001573
Training Epoch: [33][2/22]	Training Loss: 0.000781
Training Epoch: [33][3/22]	Training Loss: 0.000418
Training Epoch: [33][4/22]	Training Loss: 0.001328
Training Epoch: [33][5/22]	Training Loss: 0.001361
Training Epoch: [33][6/22]	Training Loss: 0.002887
Training Epoch: [33][7/22]	Training Loss: 0.001199
Training Epoch: [33][8/22]	Training Loss: 0.002386
Training Epoch: [33][9/22]	Training Loss: 0.000575
Training Epoch: [33][10/22]	Training Loss: 0.000942
Training Epoch: [33][11/22]	Training Loss: 0.000862
Training Epoch: [33][12/22]	Training Loss: 0.001168
Training Epoch: [33][13/22]	Training Loss: 0.001470
Training Epoch: [33][14/22]	Training Loss: 0.001131
Training Epoch: [33][15/22]	Training Loss: 0.001039
Training Epoch: [33][16/22]	Training Loss: 0.001084
Training Epoch: [33][17/22]	Training Loss: 0.001353
Training Epoch: [33][18/22]	Training Loss: 0.000305
Training Epoch: [33][19/22]	Training Loss: 0.000771
Training Epoch: [33][20/22]	Training Loss: 0.000863
Training Epoch: [33][21/22]	Training Loss: 0.001039
Training Epoch: [33][22/22]	Training Loss: 0.004539
Validation Loss: 0.000446 	Validation Acc.: 98.371336
best accuracy: 99.0228013029316
Training Epoch: [34][0/22]	Training Loss: 0.001091
Training Epoch: [34][1/22]	Training Loss: 0.000717
Training Epoch: [34][2/22]	Training Loss: 0.001464
Training Epoch: [34][3/22]	Training Loss: 0.001656
Training Epoch: [34][4/22]	Training Loss: 0.000985
Training Epoch: [34][5/22]	Training Loss: 0.001901
Training Epoch: [34][6/22]	Training Loss: 0.000696
Training Epoch: [34][7/22]	Training Loss: 0.001328
Training Epoch: [34][8/22]	Training Loss: 0.000708
Training Epoch: [34][9/22]	Training Loss: 0.000682
Training Epoch: [34][10/22]	Training Loss: 0.001701
Training Epoch: [34][11/22]	Training Loss: 0.001061
Training Epoch: [34][12/22]	Training Loss: 0.001208
Training Epoch: [34][13/22]	Training Loss: 0.000634
Training Epoch: [34][14/22]	Training Loss: 0.000617
Training Epoch: [34][15/22]	Training Loss: 0.000213
Training Epoch: [34][16/22]	Training Loss: 0.001292
Training Epoch: [34][17/22]	Training Loss: 0.000755
Training Epoch: [34][18/22]	Training Loss: 0.001771
Training Epoch: [34][19/22]	Training Loss: 0.001152
Training Epoch: [34][20/22]	Training Loss: 0.000125
Training Epoch: [34][21/22]	Training Loss: 0.001172
Training Epoch: [34][22/22]	Training Loss: 0.000772
Validation Loss: 0.000581 	Validation Acc.: 97.394137
best accuracy: 99.0228013029316
Training Epoch: [35][0/22]	Training Loss: 0.002005
Training Epoch: [35][1/22]	Training Loss: 0.000606
Training Epoch: [35][2/22]	Training Loss: 0.002017
Training Epoch: [35][3/22]	Training Loss: 0.000997
Training Epoch: [35][4/22]	Training Loss: 0.000832
Training Epoch: [35][5/22]	Training Loss: 0.000463
Training Epoch: [35][6/22]	Training Loss: 0.001682
Training Epoch: [35][7/22]	Training Loss: 0.001479
Training Epoch: [35][8/22]	Training Loss: 0.000153
Training Epoch: [35][9/22]	Training Loss: 0.000678
Training Epoch: [35][10/22]	Training Loss: 0.000506
Training Epoch: [35][11/22]	Training Loss: 0.001101
Training Epoch: [35][12/22]	Training Loss: 0.000757
Training Epoch: [35][13/22]	Training Loss: 0.001731
Training Epoch: [35][14/22]	Training Loss: 0.001053
Training Epoch: [35][15/22]	Training Loss: 0.000834
Training Epoch: [35][16/22]	Training Loss: 0.000683
Training Epoch: [35][17/22]	Training Loss: 0.000537
Training Epoch: [35][18/22]	Training Loss: 0.000323
Training Epoch: [35][19/22]	Training Loss: 0.000999
Training Epoch: [35][20/22]	Training Loss: 0.000765
Training Epoch: [35][21/22]	Training Loss: 0.000465
Training Epoch: [35][22/22]	Training Loss: 0.000740
Validation Loss: 0.000401 	Validation Acc.: 98.371336
best accuracy: 99.0228013029316
Training Epoch: [36][0/22]	Training Loss: 0.000723
Training Epoch: [36][1/22]	Training Loss: 0.001661
Training Epoch: [36][2/22]	Training Loss: 0.001236
Training Epoch: [36][3/22]	Training Loss: 0.000925
Training Epoch: [36][4/22]	Training Loss: 0.000977
Training Epoch: [36][5/22]	Training Loss: 0.000558
Training Epoch: [36][6/22]	Training Loss: 0.000710
Training Epoch: [36][7/22]	Training Loss: 0.000406
Training Epoch: [36][8/22]	Training Loss: 0.001489
Training Epoch: [36][9/22]	Training Loss: 0.000778
Training Epoch: [36][10/22]	Training Loss: 0.000616
Training Epoch: [36][11/22]	Training Loss: 0.000634
Training Epoch: [36][12/22]	Training Loss: 0.000670
Training Epoch: [36][13/22]	Training Loss: 0.000783
Training Epoch: [36][14/22]	Training Loss: 0.001408
Training Epoch: [36][15/22]	Training Loss: 0.001229
Training Epoch: [36][16/22]	Training Loss: 0.001075
Training Epoch: [36][17/22]	Training Loss: 0.001494
Training Epoch: [36][18/22]	Training Loss: 0.000393
Training Epoch: [36][19/22]	Training Loss: 0.000463
Training Epoch: [36][20/22]	Training Loss: 0.000384
Training Epoch: [36][21/22]	Training Loss: 0.000993
Training Epoch: [36][22/22]	Training Loss: 0.002145
Validation Loss: 0.001126 	Validation Acc.: 96.742671
best accuracy: 99.0228013029316
Training Epoch: [37][0/22]	Training Loss: 0.000961
Training Epoch: [37][1/22]	Training Loss: 0.000528
Training Epoch: [37][2/22]	Training Loss: 0.000829
Training Epoch: [37][3/22]	Training Loss: 0.000894
Training Epoch: [37][4/22]	Training Loss: 0.000402
Training Epoch: [37][5/22]	Training Loss: 0.000906
Training Epoch: [37][6/22]	Training Loss: 0.000967
Training Epoch: [37][7/22]	Training Loss: 0.001164
Training Epoch: [37][8/22]	Training Loss: 0.000553
Training Epoch: [37][9/22]	Training Loss: 0.000240
Training Epoch: [37][10/22]	Training Loss: 0.000975
Training Epoch: [37][11/22]	Training Loss: 0.001020
Training Epoch: [37][12/22]	Training Loss: 0.001365
Training Epoch: [37][13/22]	Training Loss: 0.000107
Training Epoch: [37][14/22]	Training Loss: 0.001282
Training Epoch: [37][15/22]	Training Loss: 0.000750
Training Epoch: [37][16/22]	Training Loss: 0.000600
Training Epoch: [37][17/22]	Training Loss: 0.000712
Training Epoch: [37][18/22]	Training Loss: 0.000569
Training Epoch: [37][19/22]	Training Loss: 0.000497
Training Epoch: [37][20/22]	Training Loss: 0.001026
Training Epoch: [37][21/22]	Training Loss: 0.001462
Training Epoch: [37][22/22]	Training Loss: 0.000155
Validation Loss: 0.000628 	Validation Acc.: 98.371336
best accuracy: 99.0228013029316
Training Epoch: [38][0/22]	Training Loss: 0.001124
Training Epoch: [38][1/22]	Training Loss: 0.001723
Training Epoch: [38][2/22]	Training Loss: 0.001445
Training Epoch: [38][3/22]	Training Loss: 0.000827
Training Epoch: [38][4/22]	Training Loss: 0.000223
Training Epoch: [38][5/22]	Training Loss: 0.000834
Training Epoch: [38][6/22]	Training Loss: 0.000493
Training Epoch: [38][7/22]	Training Loss: 0.000749
Training Epoch: [38][8/22]	Training Loss: 0.000514
Training Epoch: [38][9/22]	Training Loss: 0.000683
Training Epoch: [38][10/22]	Training Loss: 0.000631
Training Epoch: [38][11/22]	Training Loss: 0.000216
Training Epoch: [38][12/22]	Training Loss: 0.000675
Training Epoch: [38][13/22]	Training Loss: 0.000424
Training Epoch: [38][14/22]	Training Loss: 0.000751
Training Epoch: [38][15/22]	Training Loss: 0.001408
Training Epoch: [38][16/22]	Training Loss: 0.000716
Training Epoch: [38][17/22]	Training Loss: 0.000918
Training Epoch: [38][18/22]	Training Loss: 0.000052
Training Epoch: [38][19/22]	Training Loss: 0.000589
Training Epoch: [38][20/22]	Training Loss: 0.000862
Training Epoch: [38][21/22]	Training Loss: 0.000452
Training Epoch: [38][22/22]	Training Loss: 0.000682
Validation Loss: 0.000577 	Validation Acc.: 98.697068
best accuracy: 99.0228013029316
Training Epoch: [39][0/22]	Training Loss: 0.000410
Training Epoch: [39][1/22]	Training Loss: 0.000537
Training Epoch: [39][2/22]	Training Loss: 0.000798
Training Epoch: [39][3/22]	Training Loss: 0.000642
Training Epoch: [39][4/22]	Training Loss: 0.000359
Training Epoch: [39][5/22]	Training Loss: 0.000230
Training Epoch: [39][6/22]	Training Loss: 0.001139
Training Epoch: [39][7/22]	Training Loss: 0.000517
Training Epoch: [39][8/22]	Training Loss: 0.000503
Training Epoch: [39][9/22]	Training Loss: 0.000627
Training Epoch: [39][10/22]	Training Loss: 0.000873
Training Epoch: [39][11/22]	Training Loss: 0.000296
Training Epoch: [39][12/22]	Training Loss: 0.000640
Training Epoch: [39][13/22]	Training Loss: 0.001083
Training Epoch: [39][14/22]	Training Loss: 0.000557
Training Epoch: [39][15/22]	Training Loss: 0.000734
Training Epoch: [39][16/22]	Training Loss: 0.000490
Training Epoch: [39][17/22]	Training Loss: 0.000953
Training Epoch: [39][18/22]	Training Loss: 0.000061
Training Epoch: [39][19/22]	Training Loss: 0.000995
Training Epoch: [39][20/22]	Training Loss: 0.001435
Training Epoch: [39][21/22]	Training Loss: 0.001067
Training Epoch: [39][22/22]	Training Loss: 0.000070
Validation Loss: 0.000866 	Validation Acc.: 97.719870
best accuracy: 99.0228013029316
Training Epoch: [40][0/22]	Training Loss: 0.000955
Training Epoch: [40][1/22]	Training Loss: 0.000684
Training Epoch: [40][2/22]	Training Loss: 0.000324
Training Epoch: [40][3/22]	Training Loss: 0.000278
Training Epoch: [40][4/22]	Training Loss: 0.000820
Training Epoch: [40][5/22]	Training Loss: 0.000670
Training Epoch: [40][6/22]	Training Loss: 0.001133
Training Epoch: [40][7/22]	Training Loss: 0.000538
Training Epoch: [40][8/22]	Training Loss: 0.001086
Training Epoch: [40][9/22]	Training Loss: 0.000685
Training Epoch: [40][10/22]	Training Loss: 0.000227
Training Epoch: [40][11/22]	Training Loss: 0.001206
Training Epoch: [40][12/22]	Training Loss: 0.000652
Training Epoch: [40][13/22]	Training Loss: 0.000190
Training Epoch: [40][14/22]	Training Loss: 0.001026
Training Epoch: [40][15/22]	Training Loss: 0.000266
Training Epoch: [40][16/22]	Training Loss: 0.000327
Training Epoch: [40][17/22]	Training Loss: 0.001255
Training Epoch: [40][18/22]	Training Loss: 0.000237
Training Epoch: [40][19/22]	Training Loss: 0.000352
Training Epoch: [40][20/22]	Training Loss: 0.000402
Training Epoch: [40][21/22]	Training Loss: 0.000078
Training Epoch: [40][22/22]	Training Loss: 0.000680
Validation Loss: 0.000703 	Validation Acc.: 98.045603
best accuracy: 99.0228013029316
Training Epoch: [41][0/22]	Training Loss: 0.000106
Training Epoch: [41][1/22]	Training Loss: 0.000687
Training Epoch: [41][2/22]	Training Loss: 0.001190
Training Epoch: [41][3/22]	Training Loss: 0.000774
Training Epoch: [41][4/22]	Training Loss: 0.000258
Training Epoch: [41][5/22]	Training Loss: 0.000184
Training Epoch: [41][6/22]	Training Loss: 0.001285
Training Epoch: [41][7/22]	Training Loss: 0.000716
Training Epoch: [41][8/22]	Training Loss: 0.000588
Training Epoch: [41][9/22]	Training Loss: 0.000399
Training Epoch: [41][10/22]	Training Loss: 0.000396
Training Epoch: [41][11/22]	Training Loss: 0.000604
Training Epoch: [41][12/22]	Training Loss: 0.000368
Training Epoch: [41][13/22]	Training Loss: 0.000179
Training Epoch: [41][14/22]	Training Loss: 0.000793
Training Epoch: [41][15/22]	Training Loss: 0.000518
Training Epoch: [41][16/22]	Training Loss: 0.001310
Training Epoch: [41][17/22]	Training Loss: 0.000715
Training Epoch: [41][18/22]	Training Loss: 0.000406
Training Epoch: [41][19/22]	Training Loss: 0.000140
Training Epoch: [41][20/22]	Training Loss: 0.000254
Training Epoch: [41][21/22]	Training Loss: 0.000440
Training Epoch: [41][22/22]	Training Loss: 0.000038
Validation Loss: 0.000893 	Validation Acc.: 97.719870
best accuracy: 99.0228013029316
Training Epoch: [42][0/22]	Training Loss: 0.000573
Training Epoch: [42][1/22]	Training Loss: 0.000485
